classA_001;classA_001;classA_001
MSASol18.msf;0.683;0.370
MSASol19.msf;0.469;0.000
MSASol2.msf;0.519;0.000
MSASol20.msf;0.469;0.000
MSASol21.msf;0.619;0.000
MSASol22.msf;0.684;0.370
MSASol23.msf;0.684;0.370
MSASol24.msf;0.684;0.370
MSASol25.msf;0.684;0.370
MSASol26.msf;0.684;0.370
MSASol27.msf;0.683;0.370
MSASol28.msf;0.683;0.370
MSASol29.msf;0.683;0.370
MSASol3.msf;0.619;0.000
MSASol30.msf;0.684;0.370
MSASol31.msf;0.684;0.370
MSASol32.msf;0.469;0.000
MSASol33.msf;0.684;0.370
MSASol34.msf;0.683;0.370
MSASol35.msf;0.469;0.000
MSASol36.msf;0.469;0.000
MSASol37.msf;0.683;0.370
MSASol38.msf;0.684;0.370
MSASol39.msf;0.684;0.370
MSASol4.msf;0.469;0.000
MSASol40.msf;0.684;0.370
MSASol41.msf;0.619;0.000
MSASol42.msf;0.469;0.000
MSASol43.msf;0.683;0.370
MSASol44.msf;0.684;0.370
MSASol45.msf;0.683;0.370
MSASol46.msf;0.683;0.370
MSASol47.msf;0.519;0.000
MSASol48.msf;0.469;0.000
MSASol49.msf;0.469;0.000
MSASol5.msf;0.684;0.370
MSASol50.msf;0.519;0.000
MSASol51.msf;0.619;0.000
MSASol52.msf;0.619;0.000
MSASol53.msf;0.518;0.000
MSASol54.msf;0.518;0.000
MSASol55.msf;0.619;0.000
MSASol56.msf;0.619;0.000
MSASol57.msf;0.519;0.000
MSASol58.msf;0.683;0.370
MSASol59.msf;0.683;0.370
MSASol6.msf;0.684;0.370
MSASol60.msf;0.684;0.370
MSASol61.msf;0.684;0.370
MSASol62.msf;0.518;0.000
MSASol63.msf;0.619;0.000
MSASol64.msf;0.469;0.000
MSASol65.msf;0.518;0.000
MSASol66.msf;0.468;0.000
MSASol67.msf;0.619;0.000
MSASol68.msf;0.469;0.000
MSASol69.msf;0.518;0.000
MSASol7.msf;0.469;0.000
MSASol70.msf;0.469;0.000
MSASol71.msf;0.519;0.000
MSASol72.msf;0.518;0.000
MSASol73.msf;0.469;0.000
MSASol74.msf;0.518;0.000
MSASol75.msf;0.518;0.000
MSASol76.msf;0.684;0.370
MSASol77.msf;0.684;0.370
MSASol78.msf;0.518;0.000
MSASol79.msf;0.518;0.000
MSASol8.msf;0.518;0.000
MSASol80.msf;0.518;0.000
MSASol81.msf;0.684;0.370
MSASol82.msf;0.684;0.370
MSASol83.msf;0.518;0.000
MSASol84.msf;0.469;0.000
MSASol85.msf;0.683;0.370
MSASol86.msf;0.683;0.370
MSASol87.msf;0.469;0.000
MSASol88.msf;0.684;0.370
MSASol89.msf;0.518;0.000
MSASol9.msf;0.683;0.370
MSASol90.msf;0.469;0.000
MSASol91.msf;0.518;0.000
MSASol92.msf;0.518;0.000
MSASol93.msf;0.518;0.000
MSASol94.msf;0.683;0.370
MSASol95.msf;0.518;0.000
MSASol96.msf;0.518;0.000
MSASol97.msf;0.518;0.000
MSASol98.msf;0.684;0.370
MSASol99.msf;0.469;0.000
classB1;classB1;classB1
MSASol0.msf;0.621;0.560
MSASol1.msf;0.608;0.560
MSASol10.msf;0.621;0.560
MSASol11.msf;0.621;0.560
MSASol12.msf;0.621;0.560
MSASol13.msf;0.621;0.560
MSASol14.msf;0.621;0.560
MSASol15.msf;0.621;0.560
MSASol16.msf;0.621;0.560
MSASol17.msf;0.621;0.560
MSASol18.msf;0.621;0.560
MSASol19.msf;0.621;0.560
MSASol2.msf;0.608;0.560
MSASol20.msf;0.621;0.560
MSASol21.msf;0.621;0.560
MSASol22.msf;0.621;0.560
MSASol23.msf;0.621;0.560
MSASol24.msf;0.621;0.560
MSASol25.msf;0.621;0.560
MSASol26.msf;0.620;0.560
MSASol27.msf;0.621;0.560
MSASol28.msf;0.608;0.560
MSASol29.msf;0.621;0.560
MSASol3.msf;0.621;0.560
MSASol30.msf;0.621;0.560
MSASol31.msf;0.621;0.560
MSASol32.msf;0.621;0.560
MSASol33.msf;0.621;0.560
MSASol34.msf;0.621;0.560
MSASol35.msf;0.621;0.560
MSASol36.msf;0.621;0.560
MSASol37.msf;0.621;0.560
MSASol38.msf;0.621;0.560
MSASol39.msf;0.621;0.560
MSASol4.msf;0.620;0.560
MSASol40.msf;0.608;0.560
MSASol41.msf;0.608;0.560
MSASol42.msf;0.621;0.560
