dataset,method,objective_1,objective_2,fasta,status,message
"classB1","kalign",68141.0000000000,0.6195973777,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\kalign_classB1.fasta",ok,""
"classB1","mafft",72694.0000000000,0.6095856712,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\mafft_classB1.fasta",ok,""
"classB1","mtmalign",21516.0000000000,0.2333440540,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\mtmalign_classB1.fasta",ok,""
"classB1","muscle5",68579.0000000000,0.5108225942,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\muscle5_classB1.fasta",ok,""
"classB1","mustang",55589.0000000000,0.4890399164,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\mustang_classB1.fasta",ok,""
"classB1","tcoffee",68118.0000000000,0.5719459696,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\tcoffee_classB1.fasta",ok,""
"classB1","tmaligner",67340.0000000000,0.6069128290,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\tmaligner_classB1.fasta",ok,""
"classB1","usalign",28860.0000000000,0.3571666338,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\usalign_classB1.fasta",ok,""
"classB1","usalign_clean",28860.0000000000,0.3571666338,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB1\usalign_classB1_clean.fasta",ok,""
"classB2","clustalw",-577873.0000000000,0.1367439327,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2\clustalw_classB2.fasta",ok,""
"classB2","kalign",-574775.0000000000,0.1337013036,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2\kalign_classB2.fasta",ok,""
"classB2","mafft",-462552.0000000000,0.1300762493,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2\mafft_classB2.fasta",ok,""
"classB2","muscle5",-519628.0000000000,0.1159258595,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2\muscle5_classB2.fasta",ok,""
"classB2","tcoffee",-622478.0000000000,0.0875862524,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2\tcoffee_classB2.fasta",ok,""
"classB2","tmaligner",-544447.0000000000,0.1278098855,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2\tmaligner_classB2.fasta",ok,""
"classB2_19","caretta",-198222.0000000000,0.4129347088,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\caretta_classB2_19.fasta",ok,""
"classB2_19","clustalw",-28662.0000000000,0.4088768657,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\clustalw_classB2_19.fasta",ok,""
"classB2_19","foldmason",-58850.0000000000,0.4004883898,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\foldmason_classB2_19.fasta",ok,""
"classB2_19","kalign",-23514.0000000000,0.4472348602,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\kalign_classB2_19.fasta",ok,""
"classB2_19","mafft",287.0000000000,0.4185479838,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\mafft_classB2_19.fasta",ok,""
"classB2_19","mtmalign",-231827.0000000000,0.0872103102,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\mtmalign_classB2_19.fasta",ok,""
"classB2_19","muscle5",-13434.0000000000,0.3660132852,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\muscle5_classB2_19.fasta",ok,""
"classB2_19","mustang",-76219.0000000000,0.2772323326,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\mustang_classB2_19.fasta",ok,""
"classB2_19","tcoffee",-28560.0000000000,0.3072458501,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\tcoffee_classB2_19.fasta",ok,""
"classB2_19","tmaligner",-14502.0000000000,0.4116808068,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\tmaligner_classB2_19.fasta",ok,""
"classB2_19","usalign",-306990.0000000000,0.1242173299,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\usalign_classB2_19.fasta",ok,""
"classB2_19","usalign_clean",-306990.0000000000,0.1242173299,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classB2_19\usalign_classB2_19_clean.fasta",ok,""
"classC","caretta",-217838.0000000000,0.3282218213,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\caretta_classC.fasta",ok,""
"classC","clustalw",-32729.0000000000,0.2897631758,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\clustalw_classC.fasta",ok,""
"classC","foldmason",-60903.0000000000,0.3103147230,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\foldmason_classC.fasta",ok,""
"classC","kalign",-41900.0000000000,0.3086008167,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classC\kalign_classC.fasta",ok,""
